base_if_frequency_mhz	lo_frequency_ghz	if_amplitude	g	phi	I_offset	Q_offset	sfdr_db
21.58	2.57	0.0005	0.04566626548767089	0.09841275215148924	0.007709657468933527	0.002211534802830784	10.174491882324219
21.58	2.57	0.008692307692307694	-0.003928755057001625	0.25767226128147735	0.008108274796537644	0.002648881083277435	36.255393981933594
21.58	2.57	0.016884615384615387	-0.003620196712160621	0.2663846289949288	0.00799497120843485	0.002471733949395847	44.794254302978516
21.58	2.57	0.02507692307692308	-0.0052739067198281624	0.27632036714123387	0.007852331692637068	0.0023810490202135284	46.8528938293457
21.58	2.57	0.03326923076923077	-0.0036097853406836743	0.2792808720935863	0.007846308146144718	0.0022182057797706513	46.44825744628906
21.58	2.57	0.041461538461538466	-0.005400317159234917	0.28250296167636396	0.00796406359040672	0.0022130219221778687	46.025962829589844
21.58	2.57	0.04965384615384616	-0.002378534243941581	0.2910504697042453	0.007764305250747986	0.0022040500150594757	43.696035385131836
21.58	2.57	0.05784615384615385	-0.0024963168735345513	0.2943223303305357	0.007759525560868186	0.002134039734717371	43.75286674499512
21.58	2.57	0.06603846153846155	-0.001165424812884038	0.2954816980205148	0.007621030024620308	0.0019524634334265214	40.38676452636719
21.58	2.57	0.07423076923076924	-0.0009764564106448752	0.2995898830608431	0.007514573220305503	0.0017719925804703144	39.479562759399414
21.58	2.57	0.08242307692307693	-7.121561786375882e-05	0.30212767071993685	0.00739323702712231	0.0018779170631636703	38.54009246826172
21.58	2.57	0.09061538461538463	0.00021050056284723954	0.3043959398060082	0.007388187763558604	0.0019731823007054223	37.65866470336914
21.58	2.57	0.09880769230769232	-0.0005379183350165996	0.3060971972334626	0.007297551919577964	0.0018957218630224946	37.323524475097656
21.58	2.57	0.10700000000000001	-0.0005664641271274839	0.3072412079084741	0.006974201575295267	0.001736476407079112	36.04789161682129
21.58	2.57	0.1151923076923077	-0.0014498935096477518	0.30823771978403847	0.007190166855197	0.0018075125779254105	35.95444869995117
21.58	2.57	0.1233846153846154	-0.0032183849268173207	0.3093280679234436	0.007090264336137532	0.002055207336666502	35.314430236816406
21.58	2.57	0.1315769230769231	-0.0038052425735210405	0.3099698844053914	0.007164037718019873	0.002117074546691006	34.529991149902344
21.58	2.57	0.13976923076923078	-0.004978807213860509	0.3099325995522217	0.0069749420118949395	0.0022726844771546488	33.50691604614258
21.58	2.57	0.14796153846153848	-0.0071064749512509805	0.31135273530593144	0.006775029226002703	0.0020383960977546755	32.83353233337402
21.58	2.57	0.15615384615384617	-0.009064941583982853	0.3116883528769766	0.006971845906548156	0.00208608471102206	31.92154884338379
21.58	2.57	0.16434615384615386	-0.011421301320234816	0.31312396196546877	0.006896010059389551	0.0019721848388620012	31.215656280517578
21.58	2.57	0.17253846153846156	-0.01496104879145747	0.31479679683645634	0.006861830666738125	0.0018225111614823398	30.371143341064453
