base_if_frequency_mhz	lo_frequency_ghz	if_amplitude	g	phi	I_offset	Q_offset	sfdr_db
21.58	2.57	0.01	0.003117370605468752	0.2658622741699218	0.007813284151479392	0.0025379898849518406	38.7883415222168
21.58	2.57	0.02526315789473684	-0.00467118373926496	0.27610754103807256	0.007790319762415969	0.002422024170739332	49.050045013427734
21.58	2.57	0.04052631578947368	-0.0033288745404092815	0.28547178660807593	0.007898942814512807	0.0021832306522082245	47.57291030883789
21.58	2.57	0.05578947368421053	-0.0020893840313760802	0.2943275586265085	0.007552292791594028	0.0020774021275675094	42.7757625579834
21.58	2.57	0.07105263157894737	-0.0009639098126285722	0.2996337065510313	0.007519707227881098	0.0019555488324177355	39.85542678833008
21.58	2.57	0.0863157894736842	-0.0006955845037745202	0.3053167937443113	0.00738166259502783	0.0018996950403803777	37.76181411743164
21.58	2.57	0.10157894736842105	-0.00010540645309982735	0.30832506473163385	0.007108524275022103	0.001955810592080865	37.05978584289551
21.58	2.57	0.11684210526315789	-0.0013181453731030007	0.30951605461525045	0.007094551106924662	0.002204670729152326	35.747419357299805
21.58	2.57	0.13210526315789473	-0.0038516738912200334	0.3106254742737401	0.0068379597837764945	0.0022156258100674226	34.293617248535156
21.58	2.57	0.1473684210526316	-0.006473319584362262	0.31072411969804203	0.0067797607558435745	0.0020967167730427706	32.866180419921875
21.58	2.57	0.16263157894736843	-0.010657637356522542	0.3136761217960692	0.006921627210876447	0.0021638816537811116	31.36179542541504
21.58	2.57	0.17789473684210527	-0.015861451481104183	0.3153376753496242	0.006738635284150417	0.0018638775100921262	29.68280029296875
21.58	2.57	0.1931578947368421	-0.023998122504552084	0.31863574970663233	0.006662810552975323	0.0017913266262407652	27.96543312072754
21.58	2.57	0.20842105263157895	-0.034758621960052485	0.3216875294808828	0.006864713193352266	0.0012635342316589867	26.286319732666016
21.58	2.57	0.2236842105263158	-0.04818503581277393	0.3246149155431026	0.006635241694523456	0.001095289267817062	24.848230361938477
21.58	2.57	0.23894736842105263	-0.06179563600830799	0.3251688817279188	0.0067053150733878755	0.0007012501141776141	23.608430862426758
21.58	2.57	0.25421052631578944	-0.0775427629921618	0.3249870691590304	0.006445893857152585	0.0002640517357386974	22.626937866210938
21.58	2.57	0.2694736842105263	-0.09160171171700687	0.32309963383324813	0.0059633164609957596	-9.472778731248075e-06	21.68160629272461
21.58	2.57	0.2847368421052632	-0.10739812348673212	0.3226298881410073	0.006083835560783466	-0.0004977082162686644	20.901391983032227
21.58	2.57	0.3	-0.12208076401189663	0.3199467553916293	0.005822630262193913	-0.0006559560730603991	20.240270614624023
21.58	2.5801694915254236	0.01	-0.0006926517677658403	0.28192365965742294	0.006955099358876962	0.005137018092327538	38.293190002441406
21.58	2.5801694915254236	0.02526315789473684	0.0015860932134654443	0.2853343048677744	0.006959468136731286	0.005027005320775802	45.40576934814453
21.58	2.5801694915254236	0.04052631578947368	-0.004196331389637764	0.2897366734544905	0.006946697315909567	0.0046763489800134474	44.20106506347656
21.58	2.5801694915254236	0.05578947368421053	-0.00521481486910206	0.29232255950657604	0.006744082421830985	0.004311814914274897	42.67805480957031
21.58	2.5801694915254236	0.07105263157894737	-0.0028893741586915813	0.2946309172231141	0.00675220898417193	0.004070813433149908	39.12920379638672
21.58	2.5801694915254236	0.0863157894736842	-0.0031110833968273225	0.2956692405259831	0.006752855457597559	0.0037941054118491805	37.03659439086914
21.58	2.5801694915254236	0.10157894736842105	-0.003950122736380307	0.2973943473802296	0.006700532643185751	0.0037168434352637613	35.619537353515625
21.58	2.5801694915254236	0.11684210526315789	-0.003006029674536415	0.29650007685433355	0.00672458990634036	0.0035496656291027014	34.65151023864746
21.58	2.5801694915254236	0.13210526315789473	-0.004394264215982267	0.2981373063288786	0.0067566569355416006	0.003506007308740419	33.33166694641113
21.58	2.5801694915254236	0.1473684210526316	-0.004759032581380316	0.2991676806705229	0.006420875710870324	0.003557927181003547	32.14335060119629
21.58	2.5801694915254236	0.16263157894736843	-0.005947952856688506	0.30033067472979125	0.006624851235125254	0.0035231415802115295	30.92023468017578
21.58	2.5801694915254236	0.17789473684210527	-0.009856892661785691	0.303157064585518	0.006653036120957414	0.003286178133470175	29.43965721130371
21.58	2.5801694915254236	0.1931578947368421	-0.014227546591767615	0.30591444281446173	0.006755470202057087	0.0031090161584558006	27.83824920654297
21.58	2.5801694915254236	0.20842105263157895	-0.02285752602092389	0.3098291700388284	0.006549229586190078	0.0027240145303915175	26.331958770751953
21.58	2.5801694915254236	0.2236842105263158	-0.03322720424081198	0.311505671111568	0.00664263923693177	0.0023542715802957995	24.990882873535156
21.58	2.5801694915254236	0.23894736842105263	-0.046145545825113425	0.3131296066655116	0.006435946904114649	0.0017807713728627693	23.76409149169922
21.58	2.5801694915254236	0.25421052631578944	-0.060877275894001714	0.31402954385526327	0.006366252668952259	0.0017649879094717518	22.723752975463867
21.58	2.5801694915254236	0.2694736842105263	-0.07516164909541882	0.3142135054409485	0.006078767446651547	0.001391891180800988	21.796926498413086
21.58	2.5801694915254236	0.2847368421052632	-0.09139494601480008	0.31273686845504955	0.005870075306611029	0.0008129394289331275	21.05572509765625
21.58	2.5801694915254236	0.3	-0.10744031080979081	0.3105606082675698	0.005765122973950332	0.0006214098492045632	20.38047981262207
21.58	2.5903389830508474	0.01	-0.01603135796074614	0.23231759979769512	0.007552341524221395	0.005783746441115864	34.418636322021484
21.58	2.5903389830508474	0.02526315789473684	-0.008914268607167162	0.2441667576942163	0.007520088929247269	0.0057634780857506035	46.93125915527344
21.58	2.5903389830508474	0.04052631578947368	-0.007229126090077316	0.2499438306007104	0.007272291315142131	0.00528733309627053	43.519691467285156
21.58	2.5903389830508474	0.05578947368421053	-0.0073484188261307825	0.260205384126635	0.007349111512460871	0.005087249801703667	39.773807525634766
21.58	2.5903389830508474	0.07105263157894737	-0.006571481222180285	0.2657248025450425	0.007435112025926347	0.00489162537505702	37.502864837646484
21.58	2.5903389830508474	0.0863157894736842	-0.006354418767126585	0.268874574073948	0.007324183794410769	0.0046032028771145015	36.114990234375
21.58	2.5903389830508474	0.10157894736842105	-0.0049958214244849985	0.272729132435393	0.007158308037705069	0.0045305224305111445	34.85996437072754
21.58	2.5903389830508474	0.11684210526315789	-0.004884624412182998	0.27420535718517847	0.007154730035707983	0.004413916069140206	34.00913619995117
21.58	2.5903389830508474	0.13210526315789473	-0.005987912906233499	0.2750529112988943	0.0071561406026466835	0.004361817563252005	32.93470764160156
21.58	2.5903389830508474	0.1473684210526316	-0.00745423731942875	0.2754524216983327	0.0070320913982941415	0.0042409586444481714	31.730716705322266
21.58	2.5903389830508474	0.16263157894736843	-0.009683265832677396	0.2778688177937636	0.007012552864971322	0.004321457559224855	30.276294708251953
21.58	2.5903389830508474	0.17789473684210527	-0.012226672425708646	0.2803132813996978	0.006896636124364626	0.004229048389486619	29.014814376831055
21.58	2.5903389830508474	0.1931578947368421	-0.01646160218831469	0.28282765490568057	0.006821451908107441	0.003907110286188894	27.495227813720703
21.58	2.5903389830508474	0.20842105263157895	-0.02270287594026272	0.28583646557509723	0.007016662835739148	0.0036652854471575713	25.894933700561523
21.58	2.5903389830508474	0.2236842105263158	-0.03165971987555154	0.2896511097782208	0.00684945826847426	0.0035336231169643788	24.474353790283203
21.58	2.5903389830508474	0.23894736842105263	-0.04308952722431046	0.2908256715987375	0.006690623039344996	0.002949494734117841	23.313508987426758
21.58	2.5903389830508474	0.25421052631578944	-0.05464846636832578	0.29187087164116415	0.006518837482286645	0.002702113670517236	22.21031951904297
21.58	2.5903389830508474	0.2694736842105263	-0.06840835476605198	0.2916775850645319	0.0063887434121566965	0.0021814826134522536	21.281143188476562
21.58	2.5903389830508474	0.2847368421052632	-0.0820492565463609	0.2904808785916214	0.0059779149755920585	0.0019811185580194796	20.511960983276367
21.58	2.5903389830508474	0.3	-0.09539008932087353	0.28878033554954874	0.00593373372094652	0.0016787919929597541	19.809741973876953
21.58	2.600508474576271	0.01	0.008239298919950965	0.2626995043648402	0.007742934937329891	0.006660884203371548	39.02250671386719
21.58	2.600508474576271	0.02526315789473684	0.004979649689226775	0.26625910073230097	0.007530295454859919	0.006297800093695056	47.95932388305664
21.58	2.600508474576271	0.04052631578947368	0.004226941376426403	0.2726518965323376	0.007380037447803485	0.006049484551694144	44.4769287109375
21.58	2.600508474576271	0.05578947368421053	0.0024079024882797716	0.28036482128150336	0.007147339940690311	0.005649613450675556	39.24223327636719
21.58	2.600508474576271	0.07105263157894737	0.0004131779709349805	0.28512657185800483	0.007322242745119021	0.0053981139890833816	36.666500091552734
21.58	2.600508474576271	0.0863157894736842	-0.00022092743512630233	0.28855245459215934	0.0075089726805930585	0.005351120648452108	35.050167083740234
21.58	2.600508474576271	0.10157894736842105	0.00020837686696167717	0.2931367120030567	0.007255205477581525	0.005027211032100949	34.68992614746094
