base_if_frequency_mhz	lo_frequency_ghz	if_amplitude	g	phi	I_offset	Q_offset	sfdr_db
23.738	2.57	0.01	-0.01437666416168213	0.2660363674163818	0.007686549370421593	0.002733403627442455	36.07996368408203
23.738	2.57	0.02526315789473684	-0.024274224925687808	0.2740174621900764	0.0076890256034542566	0.0025244328716751852	46.66783905029297
23.738	2.57	0.04052631578947368	-0.019747037578275693	0.28745459025709297	0.0077265503594984	0.0022489870024827024	45.203338623046875
23.738	2.57	0.05578947368421053	-0.022905600441521293	0.2966198424667342	0.007578715415425289	0.0022316421498060884	41.11193656921387
23.738	2.57	0.07105263157894737	-0.02100685518038857	0.3053272779889626	0.007312298058479272	0.001931213437902327	38.9035758972168
23.738	2.57	0.0863157894736842	-0.020729301495379087	0.31271174390318224	0.007148642043193218	0.0019861779594040167	36.60196304321289
23.738	2.57	0.10157894736842105	-0.01994375106682467	0.31544824802300314	0.006967689274692568	0.0018742728480858606	34.9828987121582
23.738	2.57	0.11684210526315789	-0.02145983535149581	0.31852778030715445	0.006917064142321215	0.0019786782918756627	33.59406661987305
23.738	2.57	0.13210526315789473	-0.02210543481117781	0.31866246263546605	0.0068846903669032775	0.0019478329681592845	32.261240005493164
23.738	2.57	0.1473684210526316	-0.023894886347201796	0.3190932989631893	0.0067763772842943755	0.002209215170413196	30.716413497924805
23.738	2.57	0.16263157894736843	-0.02692007096551094	0.31958127820856136	0.006559607653244997	0.0020638650764769396	29.358760833740234
23.738	2.57	0.17789473684210527	-0.031726768171151304	0.3212796953901761	0.006725099347712329	0.0020479404132554293	27.96739959716797
23.738	2.57	0.1931578947368421	-0.038933204417784834	0.32207387028486667	0.00663658859202337	0.0017043672169292324	26.3894100189209
23.738	2.57	0.20842105263157895	-0.04859707602914489	0.32356446137581746	0.006547277806107787	0.0014185576888975531	24.890615463256836
23.738	2.57	0.2236842105263158	-0.059746661064156256	0.32346364621916157	0.006628349182522189	0.0013019684232529112	23.591632843017578
23.738	2.57	0.23894736842105263	-0.07263718602982767	0.3235680666583429	0.006372240887960248	0.0009524607440799382	22.519573211669922
23.738	2.57	0.25421052631578944	-0.08709396330443628	0.3222481806593787	0.00625287313588805	0.00043935020113333457	21.52057456970215
23.738	2.57	0.2694736842105263	-0.10055745066424941	0.3208066667713956	0.006363536085275713	0.0004807371535533098	20.773826599121094
23.738	2.57	0.2847368421052632	-0.11411190257628714	0.3181833034328968	0.006003823899608089	9.262828421308629e-05	20.143272399902344
23.738	2.57	0.3	-0.12764379968064452	0.31375542463246986	0.005782223443246131	2.8317154883315354e-05	19.632061004638672
23.738	2.5801694915254236	0.01	-0.008486386818251803	0.29018516821512624	0.0071031451736058415	0.00510536102845298	33.83246612548828
23.738	2.5801694915254236	0.02526315789473684	-0.013129731437317087	0.2921952277085339	0.007026591882956547	0.0049260070424879555	44.938655853271484
23.738	2.5801694915254236	0.04052631578947368	-0.013833842367461088	0.2974173275856928	0.0068058911932963526	0.004503647926828221	46.339439392089844
23.738	2.5801694915254236	0.05578947368421053	-0.015574543864062193	0.30054206010984935	0.00676964864124567	0.004226249803702474	42.273244857788086
23.738	2.5801694915254236	0.07105263157894737	-0.01674091512017525	0.30320533012139367	0.0067240238649629745	0.0037803566815006505	39.258562088012695
23.738	2.5801694915254236	0.0863157894736842	-0.016054007745782417	0.3061845069205064	0.006858608283364546	0.003936133383536492	36.902442932128906
